feature,mean_abs_shap
pay_1_2,0.041454577434477544
pay_1_0,0.03200940856052857
pay_2_2,0.021704624276062963
limit_bal,0.017548503232999894
log_limit_bal,0.017097780592226403
pay_3_2,0.015651011706713677
log_pay_amt1,0.015221547418349078
pay_amt1,0.014096384391366163
pay_4_2,0.013433770659378215
log_pay_amt3,0.011185332107622577
pay_amt2,0.0109818209838036
log_pay_amt2,0.010651660037161196
pay_amt3,0.010276796300195595
pay_5_2,0.009990150730315618
log_bill_amt1,0.009280927482348432
bill_amt1,0.009001415922567105
pay_2_0,0.008516481255552011
log_pay_amt4,0.008190661420473632
bill_amt2,0.00781549380151195
pay_amt4,0.007537797840225868
log_pay_amt5,0.007488073733655105
pay_amt6,0.00744281662509077
log_bill_amt2,0.007356743929213218
pay_6_2,0.007320917246321922
age,0.007260985409784565
log_bill_amt3,0.007124395549487687
bill_amt6,0.007114749904970117
log_bill_amt5,0.007073725341601422
log_pay_amt6,0.007004784109822652
bill_amt3,0.006957778372509568
pay_amt5,0.006848428422197098
log_bill_amt6,0.006661404500496561
bill_amt5,0.006653721809273902
bill_amt4,0.006551451468901208
log_bill_amt4,0.006245523385199594
pay_1_-1,0.002877654200967511
pay_5_0,0.0027865497824324874
pay_2_-1,0.0027512034287913508
pay_3_0,0.0026929502588615216
pay_1_1,0.0025335000915141545
pay_4_0,0.0024311174546131414
pay_1_-2,0.002350601236736393
gender_Female,0.002279712046702287
pay_6_0,0.0022558468975088027
pay_3_-1,0.0021733510553021583
gender_Male,0.002127335056557687
marriage_Single,0.002115472500246009
education_University,0.0020646464665839397
marriage_Married,0.0019419543667507106
pay_3_-2,0.0018461840398840558
education_Graduate school,0.0017029660770017327
pay_2_-2,0.0016770827860177358
pay_1_3,0.0014680073467486306
pay_4_-2,0.001298721286196221
pay_4_-1,0.0012891719980205251
pay_6_-1,0.0011000461974412623
education_High school,0.0008919445104651479
pay_5_-1,0.0008821192499031181
pay_5_-2,0.0008357093161060573
pay_2_3,0.0007848588074207697
pay_6_-2,0.0006516481956625268
education_Other,0.0005639849273318641
pay_3_3,0.00016749627417695368
marriage_Other,0.00011084498890748388
pay_4_3,0.00010499974747839891
pay_6_3,0.00010002897160303067
pay_5_3,5.9918938392878645e-05
pay_4_7,5.427307677812913e-05
pay_4_5,4.112748298493681e-05
pay_5_4,3.572327530369632e-05
pay_3_5,3.507898962164289e-05
pay_2_4,3.1946298602977396e-05
pay_1_4,2.8337259934360186e-05
pay_3_4,2.5792077248517702e-05
pay_4_4,2.5668628692664804e-05
pay_5_7,1.9272046573682652e-05
pay_6_7,9.323582081980366e-06
pay_2_1,8.850307066658428e-06
pay_3_7,7.77179487770819e-06
pay_1_8,6.904847420357822e-06
pay_1_5,6.828420887313888e-06
pay_2_6,5.667804874620563e-06
pay_2_7,5.532530820063188e-06
pay_6_4,5.529204054773531e-06
pay_5_5,4.716622020586316e-06
pay_2_5,4.7105880417858174e-06
pay_3_6,3.9768950276942e-06
pay_1_7,3.970848232504849e-06
pay_6_6,2.3672717479022615e-06
pay_1_6,2.3660147711646384e-06
pay_6_5,1.4998286550918484e-07
pay_4_6,0.0
pay_5_8,0.0
pay_4_8,0.0
pay_5_6,0.0
pay_2_8,0.0
pay_3_1,0.0
pay_3_8,0.0
pay_4_1,0.0
pay_6_8,0.0
